index,Date,Open,High,Low,Close,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Volume,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1544,29-Mar-22,65600.0,66850.0,65100.0,65325.9,65992.59799,597,449,39397581,276,46.23,1750.0,-274.1
1545,30-Mar-22,65450.15,65925.9,65144.8,65384.45,65594.25581,688,443,45128848,306,44.48,781.1,-65.7
1546,31-Mar-22,65384.45,65800.0,64661.5,64973.35,65164.22418,852,604,55519919,380,44.6,1138.5,-411.1
1547,01-Apr-22,65313.95,66600.0,65085.5,66360.35,65964.436,250,174,16491109,117,46.8,1514.5,1046.4
1548,04-Apr-22,67000.0,67200.0,66682.2,66989.95,66959.57525,299,176,20020913,154,51.5,517.8,-10.05
1549,05-Apr-22,67499.9,68127.0,67300.0,67632.2,67758.15636,275,197,18633493,128,46.55,827.0,132.3
1550,06-Apr-22,67946.95,67946.95,67200.2,67596.05,67620.4403,134,110,9061139,54,40.3,746.75,-350.9
1551,07-Apr-22,67984.95,68050.55,67000.0,67196.35,67498.02899,138,121,9314728,60,43.48,1050.55,-788.6
1552,08-Apr-22,67574.95,68100.0,66800.0,67763.15,67537.8945,436,346,29446522,209,47.94,1300.0,188.2
1553,11-Apr-22,67761.0,68027.75,67611.3,67738.1,67789.74138,116,71,7863610,62,53.45,416.45,-22.9
1554,12-Apr-22,67606.15,67951.6,66607.35,67541.55,67247.61864,236,205,15870438,73,30.93,1344.25,-64.6
1555,13-Apr-22,68140.0,68140.0,67046.1,67458.6,67672.9527,148,99,10015597,67,45.27,1093.9,-681.4
1556,18-Apr-22,67001.05,67461.0,66090.5,66986.6,66913.66667,249,203,16661503,120,48.19,1370.5,-14.45
1557,19-Apr-22,67079.0,67751.5,65800.0,66193.05,67148.84881,377,284,25315116,198,52.52,1951.5,-885.95
1558,20-Apr-22,66765.0,68201.7,66639.05,67734.4,67634.20956,272,218,18396505,104,38.24,1562.65,969.4
1559,21-Apr-22,67880.0,70081.6,67880.0,69680.6,68864.20561,856,657,58947760,598,69.86,2201.6,1800.6
1560,22-Apr-22,69400.0,69430.4,68519.35,69132.4,69072.65044,226,149,15610419,114,50.44,911.05,-267.6
1561,25-Apr-22,68280.0,69450.0,68280.0,69110.0,68875.63889,144,118,9918092,54,37.5,1170.0,830.0
1562,26-Apr-22,69574.9,71438.55,69486.85,71271.25,70611.76065,493,319,34811598,202,40.97,1951.7,1696.35
1563,27-Apr-22,70800.0,72590.0,70250.0,72185.25,71705.37967,482,319,34561993,187,38.8,2340.0,1385.25
1564,28-Apr-22,72500.0,72544.6,71023.45,72366.1,71885.48317,416,246,29904361,236,56.73,1521.15,-133.9
1565,29-Apr-22,72264.7,73317.5,71800.0,72688.6,72635.58037,591,431,42927628,376,63.62,1517.5,423.9
1566,02-May-22,72400.0,72769.95,71784.0,72619.4,72237.37123,431,289,31134307,256,59.4,985.95,219.4
1567,04-May-22,72750.0,73000.4,71232.45,71815.15,72565.01501,5596,346,406073824,5414,96.75,1767.95,-934.85
1568,05-May-22,72599.95,72714.45,70950.0,71124.8,71619.62585,147,128,10528085,49,33.33,1764.45,-1475.15
1569,06-May-22,70952.0,70952.0,69351.05,70065.5,69979.31535,241,176,16865015,76,31.54,1600.95,-886.5
1570,09-May-22,69500.0,69774.95,68361.0,68579.35,68935.16038,318,240,21921381,101,31.76,1413.95,-920.65
1571,10-May-22,68560.0,70895.95,67321.15,68673.95,69254.41488,699,528,48408836,153,21.89,3574.8,113.95
1572,11-May-22,68100.0,69233.5,67885.05,68119.55,68512.89547,287,208,19663201,78,27.18,1348.45,19.55
1573,12-May-22,68070.0,68070.0,66685.1,67585.15,67448.95782,403,309,27181930,145,35.98,1384.9,-484.85
1574,13-May-22,67600.0,73141.75,67600.0,72000.3,71474.63804,1083,725,77407033,410,37.86,5541.75,4400.3
1575,16-May-22,72000.0,73200.0,70590.15,72587.75,72432.7038,395,309,28610918,148,37.47,2609.85,587.75
1576,17-May-22,72600.0,74200.0,72560.2,73983.25,73500.2679,754,571,55419202,570,75.6,1639.8,1383.25
1577,18-May-22,74000.0,74735.0,73793.55,74575.15,74328.69059,404,240,30028791,113,27.97,941.45,575.15
1578,19-May-22,73000.55,74216.5,73000.55,73488.1,73718.44231,156,126,11500077,61,39.1,1215.95,487.55
1579,20-May-22,73750.0,74648.2,73275.15,74067.6,74147.54327,624,348,46268067,478,76.6,1373.05,317.6
1580,23-May-22,74767.6,75075.4,73102.6,73366.15,74583.9899,198,129,14767630,41,20.71,1972.8,-1401.45
1581,24-May-22,74649.7,74649.7,73138.3,74337.15,74018.14618,301,171,22279462,165,54.82,1511.4,-312.55
1582,25-May-22,74569.35,75372.35,73554.9,74818.1,74293.47399,173,146,12852771,61,35.26,1817.45,248.75
1583,26-May-22,74975.0,75285.45,73674.45,75051.6,74512.8716,257,196,19149808,75,29.18,1611.0,76.6
1584,27-May-22,75500.0,75649.95,74300.0,74679.15,75076.4491,167,128,12537767,54,32.34,1349.95,-820.85
1585,30-May-22,75300.0,75750.0,75032.9,75348.2,75314.16028,287,229,21615164,202,70.38,717.1,48.2
1586,31-May-22,75350.0,78138.5,75350.0,77656.85,76533.27143,350,271,26786645,157,44.86,2788.5,2306.85
1587,01-Jun-22,77184.6,77500.0,76001.0,76291.5,76917.99241,395,310,30382607,200,50.63,1499.0,-893.1
1588,02-Jun-22,76800.0,76800.0,75000.0,75866.6,75426.03814,236,179,17800545,104,44.07,1800.0,-933.4
1589,03-Jun-22,76349.95,76872.9,76118.3,76510.15,76451.68582,261,177,19953890,67,25.67,754.6,160.2
1590,06-Jun-22,76465.0,76650.0,74556.8,74738.15,75341.76471,255,204,19212150,82,32.16,2093.2,-1726.85
1591,07-Jun-22,74499.95,74499.95,71400.0,71619.4,72354.37662,539,412,38999009,268,49.72,3099.95,-2880.55
1592,08-Jun-22,72230.3,72249.5,70269.7,70566.4,71118.24113,423,329,30083016,149,35.22,1979.8,-1663.9
1593,09-Jun-22,70440.0,70752.4,70008.1,70354.1,70358.56911,246,185,17308208,75,30.49,744.3,-85.9
1594,10-Jun-22,70200.0,70554.85,69770.0,69926.8,70061.04787,188,158,13171477,46,24.47,784.85,-273.2
1595,13-Jun-22,69483.0,69483.0,68300.0,68561.25,68728.41667,240,179,16494820,118,49.17,1183.0,-921.75
1596,14-Jun-22,67500.0,69400.0,67500.0,68177.6,68698.96552,261,216,17930430,91,34.87,1900.0,677.6
1597,15-Jun-22,68177.6,69441.2,68177.6,68442.2,68966.83206,131,109,9034655,38,29.01,1263.6,264.6
1598,16-Jun-22,69000.0,69274.9,67001.05,67216.45,67755.08021,374,307,25340400,124,33.16,2273.85,-1783.55
1599,17-Jun-22,67237.9,69008.85,65900.05,67883.9,67014.43116,552,421,36991966,229,41.49,3108.8,646.0
1600,20-Jun-22,68380.0,68500.0,66500.0,66699.15,67200.24878,205,180,13776051,97,47.32,2000.0,-1680.85
1601,21-Jun-22,66899.95,68285.05,66899.95,68088.85,67925.98368,429,317,29140247,141,32.87,1385.1,1188.9
1602,22-Jun-22,67460.0,68128.35,67355.0,68050.55,67748.18487,119,94,8062034,52,43.7,773.35,590.55
1603,23-Jun-22,68258.55,69200.0,68013.05,68980.4,68787.05966,352,285,24213045,125,35.51,1186.95,721.85
1604,24-Jun-22,69300.0,70774.55,68612.95,70410.6,69610.98952,763,368,53113185,235,30.8,2161.6,1110.6
1605,27-Jun-22,70800.0,71986.95,70800.0,71161.5,71221.73991,223,164,15882448,52,23.32,1186.95,361.5
1606,28-Jun-22,71160.0,72501.0,70687.3,72286.1,71898.5068,294,214,21138161,82,27.89,1813.7,1126.1
1607,29-Jun-22,71500.0,72058.5,71151.0,71504.55,71565.64069,231,182,16531663,84,36.36,907.5,4.55
1608,30-Jun-22,71795.05,72174.65,70557.6,70734.25,71344.89055,201,161,14340323,54,26.87,1617.05,-1060.8
1609,01-Jul-22,70750.0,72435.0,70294.25,72180.3,71343.89313,262,153,18692100,97,37.02,2140.75,1430.3
1610,04-Jul-22,72083.45,72509.6,71747.8,71804.75,72090.93548,93,79,6704457,33,35.48,761.8,-278.7
1611,05-Jul-22,72100.0,72415.0,71096.1,71174.1,71774.45882,255,183,18302487,97,38.04,1318.9,-925.9
1612,06-Jul-22,71559.95,73452.65,71559.95,73270.65,72811.17227,238,185,17329059,138,57.98,1892.7,1710.7
1613,07-Jul-22,73649.55,75500.0,73358.1,75353.55,74707.51471,680,524,50801110,354,52.06,2141.9,1704.0
1614,08-Jul-22,75499.0,76400.0,75310.5,75994.0,75897.2229,655,471,49712681,366,55.88,1089.5,495.0
1615,11-Jul-22,76044.0,76499.0,75610.0,76402.35,76070.61582,177,136,13464499,84,47.46,889.0,358.35
1616,12-Jul-22,76397.95,76850.0,75139.6,76643.35,76587.88321,411,283,31477620,271,65.94,1710.4,245.4
1617,13-Jul-22,76825.5,77558.2,76825.5,77230.05,77131.69215,484,294,37331739,306,63.22,732.7,404.55
1618,14-Jul-22,77422.0,77872.55,76551.1,77376.45,77361.5929,366,252,28314343,194,53.01,1321.45,-45.55
1619,15-Jul-22,77379.4,79749.95,77379.4,79541.45,78632.4,545,395,42854658,275,50.46,2370.55,2162.05
1620,18-Jul-22,80000.0,80990.0,79805.2,80567.25,79727.08097,2816,361,224511460,2488,88.35,1184.8,567.25
1621,19-Jul-22,80799.95,80799.95,79204.45,79932.5,79995.09677,372,265,29758176,106,28.49,1595.5,-867.45
1622,20-Jul-22,80000.0,81000.0,79454.8,79647.45,80226.83962,212,144,17008090,64,30.19,1545.2,-352.55
1623,21-Jul-22,79926.65,80380.0,79560.0,80173.9,80029.69079,152,125,12164513,61,40.13,820.0,247.25
1624,22-Jul-22,80500.0,80702.95,79222.0,79477.15,79812.51685,267,193,21309942,93,34.83,1480.95,-1022.85
1625,25-Jul-22,79435.25,81150.0,79435.25,80711.85,80616.85521,815,555,65702737,511,62.7,1714.75,1276.6
1626,26-Jul-22,80610.05,80983.0,79898.3,80135.85,80319.65657,198,156,15903292,55,27.78,1084.7,-474.2
1627,27-Jul-22,80445.4,80987.85,79656.1,80762.1,80352.87417,151,124,12133284,54,35.76,1331.75,316.7
1628,28-Jul-22,80455.85,83233.0,80455.85,82990.55,82428.13152,441,294,36350806,207,46.94,2777.15,2534.7
1629,29-Jul-22,83600.0,83957.6,82600.0,83784.5,83438.28412,447,335,37296913,130,29.08,1357.6,184.5
1630,01-Aug-22,84000.0,87300.0,84000.0,86970.5,84234.68354,2923,462,246217980,2636,90.18,3300.0,2970.5
1631,02-Aug-22,86965.0,88949.95,86258.0,88268.5,87722.97331,1424,951,124917514,660,46.35,2691.95,1303.5
1632,03-Aug-22,88150.0,88852.0,87181.7,88703.45,88126.59201,951,733,83808389,453,47.63,1670.3,553.45
1633,04-Aug-22,89250.0,89333.0,87807.3,88677.4,88548.65537,354,250,31346224,115,32.49,1525.7,-572.6
1634,05-Aug-22,88888.0,89149.75,87904.0,88848.8,88612.23954,263,195,23305019,135,51.33,1245.75,-39.2
1635,08-Aug-22,89200.0,89200.0,87501.0,87712.25,88185.32044,362,222,31923086,180,49.72,1699.0,-1487.75
1636,10-Aug-22,86551.05,87240.1,82615.4,83472.3,84301.33947,1140,834,96103527,502,44.04,4624.7,-3078.75
1637,11-Aug-22,84300.0,84500.0,82200.0,82489.2,83497.97074,581,441,48512321,184,31.67,2300.0,-1810.8
1638,12-Aug-22,82185.5,84382.55,82185.5,83250.3,83334.61305,429,232,35750549,133,31.0,2197.05,1064.8
1639,16-Aug-22,83250.05,87501.0,83250.05,87037.85,86081.23417,1785,1195,153655003,899,50.36,4250.95,3787.8
1640,17-Aug-22,87000.0,87887.8,86390.05,86896.6,87062.25657,647,501,56329280,218,33.69,1497.75,-103.4
1641,18-Aug-22,86888.0,87971.55,85847.25,87586.75,87381.59868,912,528,79692018,407,44.63,2124.3,698.75
1642,19-Aug-22,87964.9,88469.5,86500.15,86905.5,87462.76818,440,349,38483618,141,32.05,1969.35,-1059.4
